Surname,Forename,Reg No.,Reg. Status,Module Code,1st Grade,2nd Grade
Aqua,Ruth,000000000,Fully registered,MUS6026,56,-
Blue,Kathy,000000001,Fully registered,MUS6026,57,-
Clementine,Ruth,000000002,Fully registered,MUS6026,58,-
Denim,Rebecca,000000003,Fully registered,MUS6026,56,-
Ecru,Emily,000000004,Fully registered,MUS6026,64,-
Forrest,Gemma,000000005,Fully registered,MUS6026,35,-
Green,Timothy,000000006,Fully registered,MUS6026,67,-
Harlequin,Kyriaki,000000007,Fully registered,MUS6026,65,-
Indigo,Alyssa,000000008,Fully registered,MUS6026,64,-
Jade,Andrea,000000009,Fully registered,MUS6026,70,-
KeyLime,Diana,000000010,Fully registered,MUS6026,53,-
Lemon,Pim,000000011,Fully registered,MUS6026,69,-
Magenta,Lauren,000000012,Fully registered,MUS6026,69,-
Noir,Hannah,000000013,Fully registered,MUS6026,NA,-
Opal,Miranda,000000014,Fully registered,MUS6026,57,-
Peach,Nichola,000000015,Fully registered,MUS6026,65,-
