Surname,Forename,Reg No.,Reg. Status,Module Code,1st Grade,2nd Grade
Aqua,Ruth,000000000,Fully registered,MUS6090,59,-
Blue,Kathy,000000001,Fully registered,MUS6090,21,-
Clementine,Ruth,000000002,Fully registered,MUS6090,33,-
Denim,Rebecca,000000003,Fully registered,MUS6090,60,-
Ecru,Emily,000000004,Fully registered,MUS6090,67,-
Forrest,Gemma,000000005,Fully registered,MUS6090,81,-
Green,Timothy,000000006,Fully registered,MUS6090,DE,-
Harlequin,Kyriaki,000000007,Fully registered,MUS6090,NA,-
Indigo,Alyssa,000000008,Fully registered,MUS6090,64,-
Jade,Andrea,000000009,Fully registered,MUS6090,71,-
KeyLime,Diana,000000010,Fully registered,MUS6090,52,-
Lemon,Pim,000000011,Fully registered,MUS6090,56,-
Magenta,Lauren,000000012,Fully registered,MUS6090,57,-
Noir,Hannah,000000013,Fully registered,MUS6090,58,-
Opal,Miranda,000000014,Fully registered,MUS6090,57,-
Peach,Nichola,000000015,Fully registered,MUS6090,54,-
